ticker,asof_date,volatility_60d,ret_60d
HAS,2023-12-29,0.416458,-0.180286
HBAN,2023-12-29,0.338513,0.28781
HCA,2023-12-29,0.254478,0.113204
HD,2023-12-29,0.207272,0.185947
HIG,2023-12-29,0.160311,0.145545
HII,2023-12-29,0.272778,0.288038
HLT,2023-12-29,0.193434,0.205364
HON,2023-12-29,0.160548,0.149646
HOOD,2023-12-29,0.591873,0.317149
HPE,2023-12-29,0.30588,-0.002052
HPQ,2023-12-29,0.194336,0.156358
HRL,2023-12-29,0.314997,-0.156734
HSIC,2023-12-29,0.250521,0.021305
HST,2023-12-29,0.249328,0.226558
HSY,2023-12-29,0.191008,-0.062399
HUBB,2023-12-29,0.272824,0.072434
HUM,2023-12-29,0.288188,-0.056977
HWM,2023-12-29,0.231802,0.184383
IBKR,2023-12-29,0.255808,-0.041064
IBM,2023-12-29,0.155914,0.159637
ICE,2023-12-29,0.167175,0.178198
IDXX,2023-12-29,0.330404,0.281013
IEX,2023-12-29,0.209986,0.042045
IFF,2023-12-29,0.256834,0.23819
INCY,2023-12-29,0.30766,0.079594
INTC,2023-12-29,0.383244,0.39961
INTU,2023-12-29,0.237933,0.208391
INVH,2023-12-29,0.276509,0.079823
IP,2023-12-29,0.25392,0.020892
IQV,2023-12-29,0.28918,0.178097
IR,2023-12-29,0.238774,0.223154
IRM,2023-12-29,0.212311,0.214224
ISRG,2023-12-29,0.299475,0.161886
IT,2023-12-29,0.341876,0.298906
ITW,2023-12-29,0.163212,0.129678
IVZ,2023-12-29,0.354422,0.306227
J,2023-12-29,0.269823,-0.038031
JBHT,2023-12-29,0.280006,0.066898
JBL,2023-12-29,0.433989,-0.021201
JCI,2023-12-29,0.254964,0.105273
JKHY,2023-12-29,0.193767,0.10745
JNJ,2023-12-29,0.146612,0.008169
JPM,2023-12-29,0.147675,0.18884
KDP,2023-12-29,0.22651,0.051254
KEY,2023-12-29,0.458392,0.406937
KEYS,2023-12-29,0.232738,0.221506
KHC,2023-12-29,0.207937,0.111812
KIM,2023-12-29,0.34251,0.263345
KKR,2023-12-29,0.333596,0.386444
KLAC,2023-12-29,0.284905,0.261433
KMB,2023-12-29,0.159572,0.004464
KMI,2023-12-29,0.170888,0.100437
KO,2023-12-29,0.169183,0.070507
KR,2023-12-29,0.195804,0.017583
KVUE,2023-12-29,0.268729,0.090172
L,2023-12-29,0.152802,0.112017
LDOS,2023-12-29,0.227998,0.185153
LEN,2023-12-29,0.305206,0.367817
LH,2023-12-29,0.187861,0.129864
LHX,2023-12-29,0.292327,0.286334
LII,2023-12-29,0.282594,0.201912
LIN,2023-12-29,0.19388,0.085781
LITE,2023-12-29,0.49251,0.2183
LLY,2023-12-29,0.313127,0.098169
LMT,2023-12-29,0.219951,0.130357
LNT,2023-12-29,0.200202,0.080455
LOW,2023-12-29,0.231614,0.114858
LRCX,2023-12-29,0.30556,0.238977
LULU,2023-12-29,0.325017,0.381724
LUV,2023-12-29,0.336021,0.061397
LVS,2023-12-29,0.283413,0.113097
LYB,2023-12-29,0.192781,0.016906
LYV,2023-12-29,0.285129,0.112947
MA,2023-12-29,0.180369,0.083776
MAA,2023-12-29,0.275981,0.051948
MAR,2023-12-29,0.216536,0.157692
MAS,2023-12-29,0.290761,0.281914
MCD,2023-12-29,0.139354,0.159204
MCHP,2023-12-29,0.332765,0.159851
MCK,2023-12-29,0.188186,0.04735
MCO,2023-12-29,0.191786,0.243182
MDLZ,2023-12-29,0.206816,0.054747
MDT,2023-12-29,0.211144,0.080929
MET,2023-12-29,0.203974,0.10235
META,2023-12-29,0.270092,0.158778
MGM,2023-12-29,0.364414,0.270982
MKC,2023-12-29,0.242762,0.000146
MLM,2023-12-29,0.256527,0.191523
MMM,2023-12-29,0.226233,0.242555
MNST,2023-12-29,0.231985,0.101175
MO,2023-12-29,0.240875,-0.03134
MOS,2023-12-29,0.366362,0.063709
MPC,2023-12-29,0.254673,0.045535
MPWR,2023-12-29,0.421842,0.380264
MRK,2023-12-29,0.160082,0.067052
MRNA,2023-12-29,0.543432,-0.045847
MRSH,2023-12-29,0.182302,-0.008842
MS,2023-12-29,0.297985,0.180162
MSCI,2023-12-29,0.224919,0.127658
MSFT,2023-12-29,0.195069,0.178805
MSI,2023-12-29,0.21265,0.141602
MTB,2023-12-29,0.354813,0.120667
MTD,2023-12-29,0.300023,0.11401
MU,2023-12-29,0.30915,0.253488
NCLH,2023-12-29,0.48553,0.217629
NDAQ,2023-12-29,0.223981,0.191598
NDSN,2023-12-29,0.188735,0.184709
NEE,2023-12-29,0.330784,0.200158
NEM,2023-12-29,0.365142,0.167937
NFLX,2023-12-29,0.406991,0.292099
NI,2023-12-29,0.221638,0.105373
NKE,2023-12-29,0.33644,0.132172
NOC,2023-12-29,0.284824,0.109674
NOW,2023-12-29,0.263221,0.288001
NRG,2023-12-29,0.231661,0.38024
NSC,2023-12-29,0.247395,0.225783
NTAP,2023-12-29,0.347899,0.17034
NTRS,2023-12-29,0.276903,0.269254
NUE,2023-12-29,0.246619,0.109985
NVDA,2023-12-29,0.332795,0.125412
NVR,2023-12-29,0.256569,0.180618
NWS,2023-12-29,0.242593,0.249757
NWSA,2023-12-29,0.244099,0.239405
NXPI,2023-12-29,0.323239,0.159393
O,2023-12-29,0.249794,0.158914
ODFL,2023-12-29,0.300651,0.005432
OKE,2023-12-29,0.213967,0.144441
OMC,2023-12-29,0.190202,0.181024
ON,2023-12-29,0.611147,-0.071143
ORCL,2023-12-29,0.344168,-0.015413
ORLY,2023-12-29,0.217728,0.059072
OTIS,2023-12-29,0.159364,0.118595
OXY,2023-12-29,0.245475,-0.005662
PANW,2023-12-29,0.354818,0.247494
PAYX,2023-12-29,0.235847,0.033041
PCAR,2023-12-29,0.193436,0.127034
PCG,2023-12-29,0.222364,0.18886
PEG,2023-12-29,0.202339,0.090177
PEP,2023-12-29,0.180262,0.005922
PFE,2023-12-29,0.305262,-0.135435
PFG,2023-12-29,0.214145,0.151207
PG,2023-12-29,0.163959,0.004454
PGR,2023-12-29,0.25013,0.120709
PH,2023-12-29,0.290175,0.198814
PHM,2023-12-29,0.318107,0.426814
PKG,2023-12-29,0.211917,0.063462
PLD,2023-12-29,0.315073,0.230365
PLTR,2023-12-29,0.647187,0.092239
PM,2023-12-29,0.174724,0.030668
PNC,2023-12-29,0.30177,0.289485
PNR,2023-12-29,0.284732,0.134717
PNW,2023-12-29,0.231172,0.001534
PODD,2023-12-29,0.519679,0.427566
POOL,2023-12-29,0.32465,0.178527
PPG,2023-12-29,0.202739,0.122579
PPL,2023-12-29,0.194497,0.183148
PRU,2023-12-29,0.194357,0.137451
PSA,2023-12-29,0.248732,0.177965
PSX,2023-12-29,0.231904,0.20507
PTC,2023-12-29,0.205087,0.253771
PWR,2023-12-29,0.335391,0.256594
PYPL,2023-12-29,0.339926,0.048676
QCOM,2023-12-29,0.236956,0.316824
RCL,2023-12-29,0.319365,0.449944
REG,2023-12-29,0.245177,0.167015
REGN,2023-12-29,0.190518,0.077875
RF,2023-12-29,0.438701,0.179768
RJF,2023-12-29,0.25989,0.14569
RL,2023-12-29,0.262105,0.268672
RMD,2023-12-29,0.305905,0.162544
ROK,2023-12-29,0.260646,0.075319
ROL,2023-12-29,0.250085,0.214683
ROP,2023-12-29,0.137328,0.117124
ROST,2023-12-29,0.231457,0.235604
RSG,2023-12-29,0.136613,0.151697
RTX,2023-12-29,0.238394,0.200171
RVTY,2023-12-29,0.475242,0.017591
SATS,2023-12-29,0.848914,0.155944
SBAC,2023-12-29,0.292561,0.330101
SBUX,2023-12-29,0.266426,0.053544
SCHW,2023-12-29,0.331606,0.34021
SHW,2023-12-29,0.219942,0.21665
SJM,2023-12-29,0.216713,0.050815
SLB,2023-12-29,0.277814,-0.067718
SMCI,2023-12-29,0.627997,0.013694
SNA,2023-12-29,0.181506,0.129989
SNPS,2023-12-29,0.265339,0.115071
SO,2023-12-29,0.186159,0.085759
SPG,2023-12-29,0.246846,0.365664
SPGI,2023-12-29,0.205129,0.216131
SRE,2023-12-29,0.205904,0.125245
STE,2023-12-29,0.226181,-0.012134
STLD,2023-12-29,0.287581,0.108765
STT,2023-12-29,0.231712,0.202017
STX,2023-12-29,0.268625,0.294332
STZ,2023-12-29,0.208053,-0.029098
SW,2023-12-29,0.281816,0.139797
SWK,2023-12-29,0.3382,0.248441
SWKS,2023-12-29,0.254698,0.15223
SYF,2023-12-29,0.315357,0.315363
SYK,2023-12-29,0.231366,0.12593
SYY,2023-12-29,0.161025,0.125163
T,2023-12-29,0.252595,0.14744
TAP,2023-12-29,0.218883,-0.028726
TDG,2023-12-29,0.26356,0.233625
TDY,2023-12-29,0.178623,0.113412
TECH,2023-12-29,0.383905,0.155689
TEL,2023-12-29,0.23554,0.139209
TER,2023-12-29,0.324938,0.083009
TFC,2023-12-29,0.367928,0.359352
TGT,2023-12-29,0.42392,0.335897
TJX,2023-12-29,0.155604,0.066023
TKO,2023-12-29,0.280788,-0.022052
TMO,2023-12-29,0.244181,0.058289
TMUS,2023-12-29,0.137787,0.161188
TPL,2023-12-29,0.355746,-0.109081
TPR,2023-12-29,0.306996,0.321839
TRGP,2023-12-29,0.256951,0.096567
TRMB,2023-12-29,0.392439,0.017205
TROW,2023-12-29,0.264701,0.057492
TRV,2023-12-29,0.18755,0.172441
TSCO,2023-12-29,0.284128,0.04393
TSLA,2023-12-29,0.446067,-0.048879
TSN,2023-12-29,0.241242,0.111709
TT,2023-12-29,0.334568,0.217402
TTD,2023-12-29,0.564489,-0.093246
TTWO,2023-12-29,0.250045,0.153163
TXN,2023-12-29,0.23234,0.079734
TXT,2023-12-29,0.186281,0.05744
TYL,2023-12-29,0.267883,0.087773
UAL,2023-12-29,0.375855,-0.003742
UBER,2023-12-29,0.319024,0.370576
UDR,2023-12-29,0.293548,0.082273
