ticker,name,sector,industry,index,country
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,SP500,US
CVS,CVS Health,Health Care,Health Care Services,SP500,US
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,SP500,US
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,SP500,US
DDOG,Datadog,Information Technology,Application Software,SP500,US
DVA,DaVita,Health Care,Health Care Services,SP500,US
DECK,Deckers Brands,Consumer Discretionary,Footwear,SP500,US
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,SP500,US
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
DAL,Delta Air Lines,Industrials,Passenger Airlines,SP500,US
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,SP500,US
DXCM,Dexcom,Health Care,Health Care Equipment,SP500,US
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,SP500,US
DLR,Digital Realty,Real Estate,Data Center REITs,SP500,US
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,SP500,US
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,SP500,US
D,Dominion Energy,Utilities,Multi-Utilities,SP500,US
DPZ,Domino's,Consumer Discretionary,Restaurants,SP500,US
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,SP500,US
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,SP500,US
DOW,Dow Inc.,Materials,Commodity Chemicals,SP500,US
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,SP500,US
DTE,DTE Energy,Utilities,Multi-Utilities,SP500,US
DUK,Duke Energy,Utilities,Electric Utilities,SP500,US
DD,DuPont,Materials,Specialty Chemicals,SP500,US
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,SP500,US
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,SP500,US
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,SP500,US
ECL,Ecolab,Materials,Specialty Chemicals,SP500,US
EIX,Edison International,Utilities,Electric Utilities,SP500,US
EW,Edwards Lifesciences,Health Care,Health Care Equipment,SP500,US
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,SP500,US
ELV,Elevance Health,Health Care,Managed Health Care,SP500,US
EME,Emcor,Industrials,Construction & Engineering,SP500,US
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,SP500,US
ETR,Entergy,Utilities,Electric Utilities,SP500,US
